Station,Year,LONGITUDE,LATITUDE,Days,Built_1975_50km_percent,Built_2020_50km_percent,Percentage_Change_50km,Built_1975_10km_percent,Built_2020_10km_percent,Percentage_Change_10km,Built_1975_2km_percent,Built_2020_2km_percent,Percentage_Change_2km
AK_Aleknagik_1_NNE,2024,-158.61,59.28,167,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
AK_Bethel_87_WNW,2024,-164.08,61.35,147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Cordova_14_ESE,2024,-145.35,60.47,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Deadhorse_3_S,2024,-148.46,70.16,167,0.03,0.05,66.67,0.01,0.03,200.0,0.0,0.0,0.0
AK_Fairbanks_11_NE,2024,-147.51,64.97,165,0.27,0.37,37.04,0.05,0.07,40.0,0.41,0.48,17.07
AK_Galena_44_SW,2024,-158.08,64.34,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Glennallen_64_N,2024,-145.5,63.03,68,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
AK_Gustavus_2_NE,2024,-135.69,58.43,147,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
AK_Huslia_27_E,2024,-155.48,65.66,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Kenai_29_ENE,2024,-150.45,60.72,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_King_Salmon_42_SE,2024,-155.92,58.21,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Metlakatla_6_S,2024,-131.59,55.05,167,0.0,0.01,0.0,0.01,0.02,100.0,0.0,0.0,0.0
AK_Port_Alsworth_1_SW,2024,-154.32,60.2,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Red_Dog_Mine_3_SSW,2024,-162.92,68.03,167,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0
AK_Ruby_44_ESE,2024,-154.13,64.5,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Sand_Point_1_ENE,2024,-160.47,55.35,144,0.0,0.0,0.0,0.02,0.03,50.0,0.17,0.22,29.41
AK_Selawik_28_E,2024,-159.0,66.56,155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Sitka_1_NE,2024,-135.33,57.06,167,0.01,0.02,100.0,0.31,0.43,38.71,2.6,3.07,18.08
AK_Tok_70_SE,2024,-141.21,62.74,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Toolik_Lake_5_ENE,2024,-149.4,68.65,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AK_Utqiagvik_formerly_Barrow_4_ENE,2024,-156.61,71.32,167,0.01,0.02,100.0,0.06,0.22,266.67,0.02,0.02,0.0
AK_Yakutat_3_SSE,2024,-139.68,59.51,167,0.0,0.0,0.0,0.01,0.02,100.0,0.15,0.25,66.67
AL_Brewton_3_NNE,2024,-87.05,31.14,164,0.23,0.39,69.57,1.13,2.32,105.31,1.32,2.8,112.12
AL_Clanton_2_NE,2024,-86.61,32.85,166,0.31,0.55,77.42,1.68,3.06,82.14,1.97,3.51,78.17
AL_Courtland_2_WSW,2024,-87.35,34.66,167,0.59,1.11,88.14,0.47,0.8,70.21,0.32,0.65,103.12
AL_Cullman_3_ENE,2024,-86.8,34.2,156,0.79,1.56,97.47,2.46,4.73,92.28,0.81,4.12,408.64
AL_Fairhope_3_NE,2024,-87.88,30.55,166,1.22,2.55,109.02,1.44,5.38,273.61,0.75,2.29,205.33
AL_Gadsden_19_N,2024,-85.96,34.29,166,0.81,1.5,85.19,0.82,1.47,79.27,0.69,1.08,56.52
AL_Gainesville_2_NE,2024,-88.14,32.84,166,0.1,0.18,80.0,0.09,0.15,66.67,0.09,0.12,33.33
AL_Greensboro_2_WNW,2024,-87.62,32.72,160,0.16,0.29,81.25,0.55,1.05,90.91,0.51,1.13,121.57
AL_Highland_Home_2_S,2024,-86.31,31.92,166,0.19,0.34,78.95,0.28,0.51,82.14,0.57,0.92,61.4
AL_Muscle_Shoals_2_N,2024,-87.64,34.77,167,1.0,1.77,77.0,5.57,9.09,63.2,2.27,3.19,40.53
AL_Northport_2_S,2024,-87.59,33.21,145,0.71,1.64,130.99,5.88,11.86,101.7,3.03,7.07,133.33
AL_Russellville_4_SSE,2024,-87.71,34.45,167,0.39,0.71,82.05,0.61,1.31,114.75,0.61,1.61,163.93
AL_Scottsboro_2_NE,2024,-86.0,34.69,167,0.5,0.91,82.0,1.61,2.91,80.75,2.79,4.56,63.44
AL_Selma_13_WNW,2024,-87.24,32.46,166,0.25,0.43,72.0,0.1,0.16,60.0,0.07,0.14,100.0
AL_Selma_6_SSE,2024,-86.98,32.33,167,0.26,0.44,69.23,0.6,1.02,70.0,0.8,2.46,207.5
AL_Talladega_10_NNE,2024,-86.06,33.57,166,0.91,1.61,76.92,0.59,1.24,110.17,3.16,6.5,105.7
AL_Thomasville_2_S,2024,-87.74,31.88,167,0.14,0.24,71.43,0.6,1.24,106.67,1.55,3.5,125.81
AL_Troy_2_W,2024,-86.0,31.79,166,0.26,0.52,100.0,1.47,3.55,141.5,0.61,2.95,383.61
AL_Valley_Head_1_SSW,2024,-85.62,34.57,167,0.53,1.01,90.57,0.53,0.97,83.02,1.53,2.78,81.7
AR_Batesville_8_WNW,2024,-91.78,35.82,166,0.29,0.55,89.66,0.29,0.52,79.31,0.28,0.42,50.0
AZ_Elgin_5_S,2024,-110.51,31.59,167,0.26,0.63,142.31,0.03,0.06,100.0,0.08,0.15,87.5
AZ_Tucson_11_W,2024,-111.17,32.24,117,2.51,4.98,98.41,0.13,0.32,146.15,0.22,0.72,227.27
AZ_Williams_35_NNW,2024,-112.34,35.76,167,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AZ_Yuma_27_ENE,2024,-114.19,32.84,166,0.12,0.41,241.67,0.0,0.0,0.0,0.0,0.0,0.0
CA_Bodega_6_WSW,2024,-123.07,38.32,70,0.37,0.69,86.49,0.24,0.58,141.67,0.37,0.64,72.97
CA_Fallbrook_5_NE,2024,-117.19,33.44,167,1.06,3.59,238.68,0.62,1.55,150.0,0.03,0.04,33.33
CA_Merced_23_WSW,2024,-120.88,37.24,167,0.59,1.29,118.64,0.02,0.04,100.0,0.0,0.01,0.0
CA_Redding_12_WNW,2024,-122.61,40.65,166,0.73,1.31,79.45,0.04,0.06,50.0,0.07,0.1,42.86
CA_Santa_Barbara_11_W,2024,-119.88,34.41,166,0.52,1.13,117.31,2.47,4.86,96.76,0.6,2.11,251.67
CA_Stovepipe_Wells_1_SW,2024,-117.14,36.6,166,0.0,0.0,0.0,0.01,0.02,100.0,0.15,0.45,200.0
CA_Yosemite_Village_12_W,2024,-119.82,37.76,167,0.02,0.03,50.0,0.0,0.01,0.0,0.0,0.01,0.0
CO_Boulder_14_W,2024,-105.54,40.04,167,0.35,0.57,62.86,0.04,0.07,75.0,0.08,0.13,62.5
CO_Cortez_8_SE,2024,-108.5,37.26,167,0.19,0.31,63.16,0.02,0.03,50.0,0.33,0.49,48.48
CO_Dinosaur_2_E,2024,-108.97,40.24,167,0.02,0.04,100.0,0.07,0.1,42.86,0.13,0.15,15.38
CO_La_Junta_17_WSW,2024,-103.82,37.86,166,0.11,0.17,54.55,0.01,0.01,0.0,0.0,0.0,0.0
CO_Montrose_11_ENE,2024,-107.69,38.54,167,0.25,0.48,92.0,0.03,0.05,66.67,0.08,0.15,87.5
CO_Nunn_7_NNE,2024,-104.76,40.81,167,0.12,0.28,133.33,0.02,0.04,100.0,0.02,0.02,0.0
FL_Everglades_City_5_NE,2024,-81.32,25.9,166,0.02,0.04,100.0,0.03,0.08,166.67,0.22,0.49,122.73
FL_Sebring_23_SSE,2024,-81.37,27.15,166,0.16,0.36,125.0,0.14,0.36,157.14,0.0,0.0,0.0
FL_Titusville_7_E,2024,-80.69,28.62,166,0.7,1.43,104.29,0.2,0.29,45.0,0.04,0.09,125.0
GA_Brunswick_23_S,2024,-81.46,30.81,166,0.3,0.83,176.67,0.05,0.08,60.0,0.06,0.11,83.33
GA_Newton_11_SW,2024,-84.45,31.19,164,0.15,0.3,100.0,0.07,0.13,85.71,0.14,0.2,42.86
GA_Newton_8_W,2024,-84.47,31.31,167,0.13,0.26,100.0,0.06,0.14,133.33,0.03,0.05,66.67
GA_Watkinsville_5_SSE,2024,-83.39,33.78,166,0.73,1.58,116.44,0.39,0.71,82.05,0.45,0.75,66.67
HI_Hilo_5_S,2024,-155.08,19.65,167,0.37,0.9,143.24,2.37,5.58,135.44,0.13,1.03,692.31
HI_Mauna_Loa_5_NNE,2024,-155.58,19.54,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0
IA_Des_Moines_17_E,2024,-93.29,41.56,167,0.68,1.49,119.12,0.35,0.67,91.43,0.02,0.2,900.0
ID_Arco_17_SW,2024,-113.56,43.46,167,0.02,0.03,50.0,0.0,0.0,0.0,0.07,0.08,14.29
ID_Murphy_10_W,2024,-116.75,43.2,167,0.03,0.06,100.0,0.01,0.02,100.0,0.05,0.09,80.0
IL_Champaign_9_SW,2024,-88.37,40.05,166,0.65,1.34,106.15,0.19,0.76,300.0,0.12,0.19,58.33
IL_Shabbona_5_NNE,2024,-88.85,41.84,163,0.51,1.22,139.22,0.18,0.36,100.0,0.31,0.7,125.81
IN_Bedford_5_WNW,2024,-86.57,38.89,164,0.47,0.86,82.98,1.02,1.86,82.35,0.7,1.36,94.29
KS_Manhattan_6_SSW,2024,-96.61,39.1,167,0.43,0.93,116.28,0.13,0.27,107.69,0.11,0.22,100.0
KS_Oakley_19_SSW,2024,-100.96,38.87,162,0.02,0.03,50.0,0.01,0.01,0.0,0.0,0.0,0.0
KY_Bowling_Green_21_NNE,2024,-86.23,37.25,166,0.4,0.76,90.0,0.31,0.57,83.87,0.27,0.53,96.3
KY_Versailles_3_NNW,2024,-84.75,38.09,167,1.46,3.32,127.4,1.16,2.58,122.41,0.35,1.01,188.57
LA_Lafayette_13_SE,2024,-91.87,30.09,167,1.6,3.57,123.12,1.55,2.79,80.0,0.29,0.54,86.21
LA_Monroe_26_N,2024,-92.12,32.88,167,0.21,0.37,76.19,0.07,0.12,71.43,0.1,0.18,80.0
ME_Limestone_4_NNW,2024,-67.88,46.96,167,0.25,0.35,40.0,0.29,0.42,44.83,0.09,0.12,33.33
ME_Old_Town_2_W,2024,-68.7,44.93,167,0.52,0.82,57.69,1.49,2.16,44.97,0.68,1.08,58.82
MI_Chatham_1_SE,2024,-86.92,46.33,166,0.07,0.11,57.14,0.19,0.28,47.37,0.39,0.52,33.33
MI_Gaylord_9_SSW,2024,-84.72,44.91,166,0.23,0.42,82.61,0.24,0.47,95.83,0.18,0.35,94.44
MN_Goodridge_12_NNW,2024,-95.87,48.31,160,0.09,0.16,77.78,0.01,0.01,0.0,0.03,0.06,100.0
MN_Sandstone_6_W,2024,-92.99,46.11,166,0.16,0.29,81.25,0.16,0.3,87.5,0.17,0.28,64.71
MO_Chillicothe_22_ENE,2024,-93.15,39.87,167,0.18,0.31,72.22,0.21,0.36,71.43,0.16,0.33,106.25
MO_Joplin_24_N,2024,-94.58,37.43,167,0.35,0.68,94.29,0.13,0.27,107.69,0.0,0.0,0.0
MO_Salem_10_W,2024,-91.72,37.63,167,0.17,0.32,88.24,0.12,0.2,66.67,0.15,0.27,80.0
MS_Holly_Springs_4_N,2024,-89.43,34.82,166,0.24,0.5,108.33,0.32,0.7,118.75,0.16,0.29,81.25
MS_Newton_5_ENE,2024,-89.07,32.34,167,0.21,0.42,100.0,0.3,0.56,86.67,0.25,0.47,88.0
MT_Dillon_18_WSW,2024,-113.01,45.16,163,0.01,0.02,100.0,0.01,0.01,0.0,0.05,0.06,20.0
MT_Lewistown_42_WSW,2024,-110.29,46.88,167,0.01,0.02,100.0,0.03,0.05,66.67,0.02,0.03,50.0
MT_Wolf_Point_29_ENE,2024,-105.1,48.31,167,0.03,0.04,33.33,0.01,0.01,0.0,0.0,0.01,0.0
MT_Wolf_Point_34_NE,2024,-105.21,48.49,167,0.01,0.02,100.0,0.0,0.0,0.0,0.04,0.05,25.0
NC_Asheville_13_S,2024,-82.56,35.42,166,1.2,2.61,117.5,1.82,4.86,167.03,2.26,5.29,134.07
NC_Asheville_8_SSW,2024,-82.61,35.49,166,1.24,2.67,115.32,0.84,2.44,190.48,0.13,0.52,300.0
NC_Durham_11_W,2024,-79.09,35.97,166,1.38,3.68,166.67,1.06,3.06,188.68,0.32,1.14,256.25
ND_Jamestown_38_WSW,2024,-99.48,46.77,167,0.04,0.07,75.0,0.03,0.04,33.33,0.03,0.05,66.67
ND_Medora_7_E,2024,-103.38,46.89,163,0.04,0.07,75.0,0.02,0.02,0.0,0.0,0.01,0.0
ND_Northgate_5_ESE,2024,-102.17,48.97,167,0.03,0.06,100.0,0.02,0.03,50.0,0.0,0.03,0.0
NE_Harrison_20_SSE,2024,-103.74,42.42,167,0.01,0.01,0.0,0.01,0.01,0.0,0.03,0.06,100.0
NE_Lincoln_11_SW,2024,-96.85,40.7,167,1.09,2.24,105.5,0.25,0.51,104.0,0.08,0.16,100.0
NE_Lincoln_8_ENE,2024,-96.57,40.85,167,1.06,2.18,105.66,2.02,4.28,111.88,0.18,0.37,105.56
NE_Whitman_5_ENE,2024,-101.44,42.07,166,0.01,0.01,0.0,0.01,0.02,100.0,0.01,0.01,0.0
NH_Durham_2_N,2024,-70.93,43.17,167,1.1,1.85,68.18,2.29,3.6,57.21,0.53,0.85,60.38
NH_Durham_2_SSW,2024,-70.95,43.11,167,1.18,1.99,68.64,1.23,2.07,68.29,0.47,0.76,61.7
NM_Las_Cruces_20_N,2024,-106.74,32.61,167,0.1,0.23,130.0,0.01,0.01,0.0,0.14,0.22,57.14
NM_Los_Alamos_13_W,2024,-106.52,35.86,167,0.09,0.18,100.0,0.0,0.01,0.0,0.03,0.05,66.67
NM_Socorro_20_N,2024,-106.89,34.36,166,0.05,0.09,80.0,0.04,0.07,75.0,0.08,0.3,275.0
NV_Baker_5_W,2024,-114.21,39.01,167,0.03,0.04,33.33,0.04,0.05,25.0,0.39,0.55,41.03
NV_Denio_52_WSW,2024,-119.64,41.85,167,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0
NV_Mercury_3_SSW,2024,-116.02,36.62,167,0.01,0.01,0.0,0.1,0.14,40.0,0.02,0.03,50.0
NY_Ithaca_13_E,2024,-76.25,42.44,167,0.58,0.99,70.69,0.27,0.48,77.78,0.58,1.52,162.07
NY_Millbrook_3_W,2024,-73.74,41.79,167,1.07,1.85,72.9,0.67,1.24,85.07,0.18,0.35,94.44
OH_Wooster_3_SSE,2024,-81.91,40.76,166,0.76,1.85,143.42,1.46,3.32,127.4,0.67,1.37,104.48
OK_Goodwell_2_E,2024,-101.59,36.6,160,0.11,0.21,90.91,0.17,0.32,88.24,0.05,0.08,60.0
OK_Goodwell_2_SE,2024,-101.61,36.57,166,0.11,0.21,90.91,0.16,0.3,87.5,0.01,0.01,0.0
OK_Stillwater_2_W,2024,-97.09,36.12,166,0.37,0.79,113.51,3.75,8.02,113.87,7.26,11.53,58.82
OK_Stillwater_5_WNW,2024,-97.11,36.13,166,0.37,0.78,110.81,2.86,6.1,113.29,0.42,1.12,166.67
ON_Egbert_1_W,2024,-79.78,44.23,167,0.84,2.11,151.19,0.41,0.85,107.32,0.19,0.31,63.16
OR_Coos_Bay_8_SW,2024,-124.32,43.27,167,0.36,0.59,63.89,0.03,0.05,66.67,0.0,0.01,0.0
OR_John_Day_35_WNW,2024,-119.65,44.56,167,0.01,0.01,0.0,0.01,0.02,100.0,0.1,0.16,60.0
OR_Riley_10_WSW,2024,-119.69,43.47,167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA_Avondale_2_N,2024,-75.79,39.86,166,2.55,5.23,105.1,1.16,2.91,150.86,0.26,0.53,103.85
RI_Kingston_1_NW,2024,-71.54,41.49,167,1.42,2.26,59.15,1.17,2.36,101.71,3.1,5.59,80.32
RI_Kingston_1_W,2024,-71.54,41.48,167,1.3,2.1,61.54,1.48,2.81,89.86,2.6,4.61,77.31
SC_Blackville_3_W,2024,-81.33,33.36,166,0.26,0.44,69.23,0.26,0.49,88.46,0.34,0.72,111.76
SC_McClellanville_7_NE,2024,-79.36,33.15,166,0.1,0.18,80.0,0.03,0.05,66.67,0.07,0.1,42.86
SD_Aberdeen_35_WNW,2024,-99.13,45.71,162,0.04,0.06,50.0,0.02,0.04,100.0,0.04,0.09,125.0
SD_Buffalo_13_ESE,2024,-103.3,45.52,167,0.01,0.02,100.0,0.0,0.01,0.0,0.05,0.07,40.0
SD_Pierre_24_S,2024,-100.35,44.02,167,0.02,0.04,100.0,0.0,0.01,0.0,0.0,0.0,0.0
SD_Sioux_Falls_14_NNE,2024,-96.62,43.73,166,0.64,1.47,129.69,0.17,0.34,100.0,0.4,0.82,105.0
TN_Crossville_7_NW,2024,-85.13,36.01,164,0.42,0.89,111.9,0.54,0.98,81.48,0.93,1.67,79.57
TX_Austin_33_NW,2024,-98.08,30.62,166,0.59,1.62,174.58,0.13,0.23,76.92,0.13,0.25,92.31
TX_Bronte_11_NNE,2024,-100.25,32.04,166,0.07,0.12,71.43,0.16,0.32,100.0,0.11,0.27,145.45
TX_Edinburg_17_NNE,2024,-98.06,26.53,166,0.22,0.61,177.27,0.05,0.1,100.0,0.0,0.0,0.0
TX_Monahans_6_ENE,2024,-102.81,31.62,166,0.13,0.22,69.23,0.01,0.01,0.0,0.08,0.11,37.5
TX_Muleshoe_19_S,2024,-102.77,33.96,166,0.03,0.05,66.67,0.01,0.01,0.0,0.06,0.07,16.67
TX_Palestine_6_WNW,2024,-95.72,31.78,167,0.26,0.55,111.54,0.52,1.06,103.85,0.57,1.21,112.28
TX_Panther_Junction_2_N,2024,-103.21,29.35,166,0.01,0.01,0.0,0.03,0.05,66.67,0.0,0.0,0.0
TX_Port_Aransas_32_NNE,2024,-96.82,28.3,166,0.07,0.14,100.0,0.02,0.04,100.0,0.0,0.0,0.0
UT_Brigham_City_28_WNW,2024,-112.54,41.62,167,0.03,0.06,100.0,0.01,0.01,0.0,0.04,0.06,50.0
UT_Torrey_7_E,2024,-111.29,38.3,167,0.03,0.04,33.33,0.01,0.02,100.0,0.0,0.0,0.0
VA_Cape_Charles_5_ENE,2024,-75.93,37.29,155,0.08,0.13,62.5,0.35,0.64,82.86,0.67,1.13,68.66
VA_Charlottesville_2_SSE,2024,-78.47,38.0,166,0.56,1.14,103.57,3.04,5.95,95.72,0.14,0.24,71.43
WA_Darrington_21_NNE,2024,-121.45,48.54,167,0.02,0.03,50.0,0.09,0.16,77.78,0.27,0.44,62.96
WA_Quinault_4_NE,2024,-123.81,47.51,141,0.01,0.02,100.0,0.06,0.1,66.67,0.12,0.22,83.33
WA_Spokane_17_SSW,2024,-117.53,47.42,167,0.62,1.17,88.71,0.09,0.14,55.56,0.09,0.22,144.44
WI_Necedah_5_WNW,2024,-90.17,44.06,164,0.22,0.43,95.45,0.03,0.05,66.67,0.01,0.06,500.0
WV_Elkins_21_ENE,2024,-79.47,39.01,166,0.11,0.2,81.82,0.2,0.35,75.0,0.12,0.22,83.33
WY_Lander_11_SSE,2024,-108.67,42.68,164,0.07,0.13,85.71,0.03,0.06,100.0,0.05,0.08,60.0
WY_Moose_1_NNE,2024,-110.71,43.66,167,0.06,0.14,133.33,0.06,0.1,66.67,0.49,0.81,65.31
WY_Sundance_8_NNW,2024,-104.44,44.52,167,0.05,0.07,40.0,0.0,0.0,0.0,0.0,0.0,0.0
